video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
0SK35fAW8ws,330317,1,0,2,2
0_cdQh_cxjo,311501,1,0,2,2
10z1bM97TAQ,556819,1,0,2,2
1fUiOWmhETg,221080,1,0,2,2
1ha2MekRHJE,247774,1,0,2,2
2AFRxRU7UpM,228462,1,0,2,2
2M3jN5VTsIY,468260,1,0,2,2
2iaf_pElF00,585324,1,0,2,2
3hsEirM-ENM,481179,1,0,2,2
47QDJ_LzPu4,428342,1,0,2,2
6OE0rJDtMdI,526312,1,0,2,2
71O-35kitdA,290072,1,0,2,2
7Q9MkYuzfIw,375678,1,0,2,2
7gJGhutDcEM,277567,1,0,2,2
8fauaHhAzNw,312633,1,0,2,2
9EeehKdOigY,522624,1,0,2,2
9MeGxZ7y3FM,569977,1,0,2,2
Bxb69av1dI4,247704,1,0,2,2
C-GlIIzJQDo,533765,1,0,2,2
C30h0Vj0Qls,201138,1,0,2,2
DkuDJ84Xm4g,486813,1,0,2,2
EcXZ5sENeWc,456048,1,0,2,2
FbdfJOcC_c4,310229,1,0,2,2
HsljySljxXk,300574,1,0,2,2
I7e9XTmxDhI,501203,1,0,2,2
IBQyrEO23XA,268368,1,0,2,2
LLXcbr8B4b4,284695,1,0,2,2
LaTEWPa38eA,209427,1,0,2,2
MK-Zw9jpBWg,213112,1,0,2,2
MYHxHOl7Iqk,349528,1,0,2,2
Mh1KjTcyq70,414715,1,0,2,2
NxgKkKPcdWA,313157,1,0,2,2
PbhOvW-Ce4w,323747,1,0,2,2
QouscxokSE8,282581,1,0,2,2
R5KXo67NI14,321939,1,0,2,2
RO9rhKQ7Rts,570647,1,0,2,2
Ri_sJGtsHFs,437185,1,0,2,2
SH_pDjcQx2w,443607,1,0,2,2
SsmQaVSYx-c,328401,1,0,2,2
TC51iLkQUOA,413842,1,0,2,2
TmAgoW5svns,290600,1,0,2,2
TzjxzVmMC-M,581048,1,0,2,2
TzmVvbkVBSM,265377,1,0,2,2
UHTQucdZWrM,234154,1,0,2,2
UmZXIdI6eRA,284969,1,0,2,2
V6WXIOOyEw4,238886,1,0,2,2
VLfG3LnaWpE,310466,1,0,2,2
WQnYq5Q-4D8,588069,1,0,2,2
W_2wJxLt-fQ,442349,1,0,2,2
WtoF8d5wIQ0,223512,1,0,2,2
X6oJo7tcb6E,237676,1,0,2,2
XyYAgGiHYwg,588177,1,0,2,2
__qCD8gbR1g,535304,1,0,2,2
_rEaKDirJ0g,302626,1,0,2,2
a4sJEmM3ZaM,386993,1,0,2,2
aJfZh6LvID4,199596,1,0,2,2
alIMY3rO0Ps,443182,1,0,2,2
aysJzKKeZ1U,492954,1,0,2,2
bC8lm4hUQuk,218549,1,0,2,2
buQsqfsPl8g,221966,1,0,2,2
bvRxtiudRNI,391044,1,0,2,2
byffpibJV_o,316476,1,0,2,2
cvNKJ8FciPU,300531,1,0,2,2
d5m2e4U5-vM,271290,1,0,2,2
dVH8RYnH_A4,265880,1,0,2,2
dmUIW0Uz7Kg,513378,1,0,2,2
fruVsR1a8Mk,266799,1,0,2,2
gwsaElRJI2M,416683,1,0,2,2
hSJfGF5xBOg,222365,1,0,2,2
hVIBAopWYeU,238977,1,0,2,2
hXrpBqmHVyQ,341122,1,0,2,2
i5j9bBCYu0A,311015,1,0,2,2
ixazf9ewYc0,294335,1,0,2,2
jPP220BcI9g,428944,1,0,2,2
kAdJAxXKBLs,452046,1,0,2,2
kH1yr05Yeto,374919,1,0,2,2
kUSSvL1vcL0,333084,1,0,2,2
l9aeh3N5a5Y,346367,1,0,2,2
lwaRtn0BxjE,487414,1,0,2,2
mr9QVkdIAwA,456614,1,0,2,2
mvwv_sA-doo,224683,1,0,2,2
pX28RaN97Go,291889,1,0,2,2
qe1ecFyf5o0,446443,1,0,2,2
qmmZ7L4WEKA,562387,1,0,2,2
rA43OdwB66A,325829,1,0,2,2
r_yTWRsnNhg,219141,1,0,2,2
smaAsXUCb7Y,461043,1,0,2,2
tea3PC3CoYk,499261,1,0,2,2
tkMsPgbnBSg,198133,1,0,2,2
twyxbt2Si5Q,537133,1,0,2,2
uMpnXQ7NF4c,418270,1,0,2,2
uNTWDzr2N-o,208824,1,0,2,2
uZe_WaiZxRU,343664,1,0,2,2
vK17010Jy9k,410989,1,0,2,2
vlyIqK8GlB8,433610,1,0,2,2
x4AY-VEXcOw,258964,1,0,2,2
xZvHUFPte40,534487,1,0,2,2
-VcV4UCzwKE,225847,1,0,2,2
36OUGfXrXv0,326071,1,0,2,2
3yCS-57DDRk,369335,1,0,2,2
4EKCIqtKRZE,393721,1,0,2,2
4Gxw4xBWyYE,441127,1,0,2,2
7whb6qdbdlA,335480,1,0,2,2
8CQXj-71-1w,216297,1,0,2,2
AYTcB-uVQtQ,323398,1,0,2,2
AqxhX1Uf5z0,197796,1,0,2,2
BNKqnj8Kusw,587708,1,0,2,2
NBcf5Co44FQ,222890,1,0,2,2
PASFPZ5gTE8,367334,1,0,2,2
PIG47QM-AEQ,342521,1,0,2,2
