video_id,final_views,num_country,popularity_category,split
01iz9kmvbxg,28082892,15,global-big-hit,train
0Nbw3jSafGM,6352950,9,global-big-hit,train
0mMu1D6VEAQ,16371770,7,global-big-hit,train
32UHBU4hRks,828656,15,global-big-hit,train
53HEbIsXG9s,4177077,7,global-big-hit,train
6NzFD6elS2w,2095453,6,global-big-hit,train
7NRl3h2hg5M,1042228,10,global-big-hit,train
B1gmboKw_jw,2069228,7,global-big-hit,train
BO-aXR7AxwI,3946049,7,global-big-hit,train
BigCpwAOiBA,1663415,9,global-big-hit,train
CAbv4AojGx8,634194,8,global-big-hit,train
E2uYN256Jco,6039778,12,global-big-hit,train
EbmfjF1iPYU,731289,23,global-big-hit,train
Ff5_H8pT438,1724187,8,global-big-hit,train
GfDlpZZYdLM,5887027,9,global-big-hit,train
GjvEzkg27F4,33221000,6,global-big-hit,train
HC76gQ6b5WQ,3420049,12,global-big-hit,train
I54k4kUFh_8,887959,10,global-big-hit,train
KR0g-1hnQPA,54218446,16,global-big-hit,train
Luuc2H8DAvc,960520,6,global-big-hit,train
M9Is4JRSs2M,5037599,14,global-big-hit,train
NAA31YId_sQ,5807698,6,global-big-hit,train
NJgLZVp1zik,4889468,19,global-big-hit,train
SF6B1PqfvCc,2168342,6,global-big-hit,train
Sf3sbxDW9v0,9089830,13,global-big-hit,train
VBxhpEhTYwc,4053221,19,global-big-hit,train
WBnBntk7LbE,4896480,6,global-big-hit,train
Wsije1KetVw,27073355,6,global-big-hit,train
_HvzjeTm4Fg,842409,7,global-big-hit,train
dt5ETIqwcMo,2056886,8,global-big-hit,train
dycv5jdhx88,11112517,6,global-big-hit,train
ey_EjSzKFWQ,11590753,9,global-big-hit,train
g4RNKhvpowM,1464153,7,global-big-hit,train
il_E30X0wsY,7134691,9,global-big-hit,train
jHPjeQJGwuk,1709781,8,global-big-hit,train
j_FGfhIc_24,960198,7,global-big-hit,train
kANfQVy9lic,1148111,12,global-big-hit,train
nYH1Xft_z3o,4502793,6,global-big-hit,train
sCfgsckqcFw,7614920,7,global-big-hit,train
teRVekTMvpg,3283421,6,global-big-hit,train
v5LVs-lKBjE,5816546,13,global-big-hit,train
vSKz-YI9L9g,1266083,7,global-big-hit,train
xQOO2xGQ1Pc,30600060,12,global-big-hit,train
y2N7OEtBSpo,5788414,6,global-big-hit,train
y9Fne3oUwX4,7711913,10,global-big-hit,train
yLTtPEvybkc,3645735,11,global-big-hit,train
1V_03efSkg0,24374342,13,global-big-hit,train
34v-qZaYav0,1620041,14,global-big-hit,train
5wkanpK7N6s,1925935,14,global-big-hit,train
IOzErUpdmSQ,1622710,6,global-big-hit,train
PhdmtUuX7J0,1618167,18,global-big-hit,train
ZJFxx9M5Cww,4140452,6,global-big-hit,train
a0TkeUhcVrM,65435820,12,global-big-hit,train
enz1B5PuUac,1308569,18,global-big-hit,train
kjjU7-EAG2A,4470557,9,global-big-hit,train
mLxd2eU9L8o,10195194,8,global-big-hit,train
mvEPxWVI04c,14568602,18,global-big-hit,train
y1M-OXfwdiY,2257437,31,global-big-hit,train
