video_id,final_views,num_country,popularity_category,split
294Nba3bu1M,50835,1,local-hit,train
J0esI6GIkSk,50736,1,local-hit,train
LLhAsAm8Jss,67105,1,local-hit,train
MZG9XboUW6g,59053,1,local-hit,train
WJvopBfTBmE,62319,1,local-hit,train
YlXclrFSFc0,59402,1,local-hit,train
ZCqGTdVBdDg,74642,1,local-hit,train
zyBR4BPV8Yk,17442,1,local-hit,train
GoeSjZr_C60,55108,1,local-hit,train
KZYF0EZFPjY,61773,1,local-hit,train
PuqR3gJroRw,58738,1,local-hit,train
SVkssb9K93I,51836,1,local-hit,train
TMN54-D7_Pg,61007,1,local-hit,train
aVH9iBIjPBc,61700,1,local-hit,train
oo3g6-JXGKk,67913,1,local-hit,train
sl8Py0s9MjA,62419,1,local-hit,train
uoUivfRJKlY,58058,1,local-hit,train
676YGj5BCa4,29465,1,local-hit,train
7rtaW7VctLY,60810,1,local-hit,train
Awa2c6Wt2iY,40320,1,local-hit,train
H5Hk6TFGzNM,67647,1,local-hit,train
vImBBqlcIFA,23615,1,local-hit,train
2po9GXs5bXo,62682,1,local-hit,train
4A6fHkkkF_4,17651,1,local-hit,train
6HJgLv1vdaI,51438,1,local-hit,train
CPf_KvDLVUw,32554,1,local-hit,train
sdBWIdYu40Y,56320,1,local-hit,train
H-X8qdAY6po,39560,1,local-hit,train
PdfTuCno5CI,75679,1,local-hit,train
ZQ8pHyiJzsI,46431,1,local-hit,train
_4tt6EieCUw,72231,1,local-hit,train
k9caI7rpyjI,57760,1,local-hit,train
bXoZX0KoSEM,47348,1,local-hit,train
t1w5uV6lmwE,62219,1,local-hit,train
R8Bp3E9UPts,65461,1,local-hit,train
iLQogF1Gvjk,69959,1,local-hit,train
n0YQUj1p9ho,63678,1,local-hit,train
agapHK1Joxg,73139,1,local-hit,train
NJucxI2ALjM,60017,1,local-hit,train
XlEaIEU8zDU,75722,1,local-hit,train
r_osvVNsxSs,46994,1,local-hit,train
rj6aPLpWcOM,60731,1,local-hit,train
2DIufcEH9vY,64212,1,local-hit,train
_Vule3ujoug,65735,1,local-hit,train
ayz35yk-FdE,48995,1,local-hit,train
4p6M5VEkSXA,35705,1,local-hit,train
C5Jy-OH2FgM,73512,1,local-hit,train
KRDaSVU5cHE,59494,1,local-hit,train
59LXEg5JRLQ,69130,1,local-hit,train
Z09gSJlvAMY,68969,1,local-hit,train
zlQbdC69y9A,61774,1,local-hit,train
dEkbZCWTrZY,53191,1,local-hit,train
i3GCKVneoUA,25272,1,local-hit,train
VGA0-cmf-uM,23651,1,local-hit,train
s-7lyvblFNI,37032,1,local-hit,train
hSBuhNACRbU,29385,1,local-hit,train
4jCRiIDMJbY,41946,1,local-hit,train
OAYZr1WbePk,74331,1,local-hit,train
mo-uLWwzkp8,61417,1,local-hit,train
sodYZPhPQu8,75695,1,local-hit,train
Dzk545GbEEY,40872,1,local-hit,train
RLYcIB8_CR0,48907,1,local-hit,train
e2zWdIlIX4Y,72572,1,local-hit,train
fzETanMXFJA,74037,1,local-hit,train
rwxhSFr3x-8,56829,1,local-hit,train
1_CZQTD9AHY,74180,1,local-hit,train
2hCO9pAiMjA,72307,1,local-hit,train
